Designator,Mid X,Mid Y,Rotation,Layer
S1,44.93,-48.5,0.0,top
S10,102.095,-67.565,0.0,top
S11,121.145,-67.565,0.0,top
S12,140.195,-67.565,0.0,top
S13,44.945,-86.615,0.0,top
S14,63.995,-86.615,0.0,top
S15,83.045,-86.615,0.0,top
S16,102.095,-86.615,0.0,top
S17,121.145,-86.615,0.0,top
S18,140.195,-86.615,0.0,top
S19,44.945,-105.665,0.0,top
S2,63.995,-48.515,0.0,top
S22,102.095,-105.665,0.0,top
S23,121.145,-105.665,0.0,top
S24,140.195,-105.665,0.0,top
S3,83.045,-48.515,0.0,top
S4,102.095,-48.515,0.0,top
S5,121.145,-48.515,0.0,top
S6,140.195,-48.515,0.0,top
S7,44.945,-67.565,0.0,top
S8,63.995,-67.565,0.0,top
S9,83.045,-67.565,0.0,top
U1,164.5175,-65.39,0.0,top
U2,167.37,-106.01,270.0,top
